date,clones,clones_uniques,views,views_uniques
2025-09-05,1.0,1.0,,
2025-09-06,,,1.0,1.0
2025-09-07,,,1.0,1.0
2025-09-08,,,10.0,7.0
2025-09-09,4.0,4.0,30.0,5.0
2025-09-10,,,8.0,5.0
2025-09-11,,,5.0,2.0
2025-09-12,,,4.0,3.0
2025-09-14,1.0,1.0,,
2025-09-15,,,10.0,3.0
2025-09-16,,,25.0,4.0
2025-09-17,1.0,1.0,15.0,2.0
2025-09-18,1.0,1.0,29.0,5.0
2025-09-19,2.0,1.0,16.0,5.0
2025-09-22,2.0,2.0,12.0,5.0
2025-09-23,,,3.0,2.0
2025-09-24,,,69.0,5.0
2025-09-25,,,4.0,2.0
2025-09-26,,,1.0,1.0
2025-09-28,,,1.0,1.0
2025-09-29,,,4.0,4.0
2025-09-30,2.0,2.0,7.0,5.0
2025-10-01,,,14.0,9.0
2025-10-02,,,1.0,1.0
2025-10-03,1.0,1.0,7.0,3.0
2025-10-04,,,1.0,1.0
2025-10-05,,,4.0,3.0
2025-10-06,,,16.0,7.0
2025-10-07,,,23.0,8.0
2025-10-08,,,5.0,4.0
2025-10-09,,,28.0,8.0
2025-10-10,,,50.0,4.0
2025-10-11,,,1.0,1.0
2025-10-12,2.0,2.0,,
2025-10-13,,,3.0,3.0
2025-10-14,,,2.0,2.0
2025-10-15,1.0,1.0,2.0,2.0
2025-10-16,,,4.0,3.0
2025-10-17,,,9.0,3.0
2025-10-18,,,1.0,1.0
2025-10-20,,,1.0,1.0
2025-10-21,,,11.0,10.0
2025-10-22,1.0,1.0,6.0,3.0
2025-10-23,,,6.0,5.0
2025-10-24,,,2.0,2.0
2025-10-25,3.0,3.0,2.0,2.0
2025-10-26,1.0,1.0,30.0,3.0
2025-10-27,,,2.0,2.0
2025-10-28,1.0,1.0,4.0,2.0
2025-10-29,,,79.0,7.0
2025-10-30,,,30.0,6.0
2025-10-31,,,1.0,1.0
2025-11-03,,,6.0,3.0
2025-11-04,,,1.0,1.0
2025-11-05,,,6.0,5.0
2025-11-06,,,1.0,1.0
2025-11-07,1.0,1.0,,
2025-11-08,,,1.0,1.0
2025-11-09,,,4.0,3.0
2025-11-10,,,5.0,1.0
2025-11-11,,,1.0,1.0
2025-11-12,1.0,1.0,4.0,4.0
2025-11-13,1.0,1.0,1.0,1.0
2025-11-14,,,17.0,5.0
2025-11-15,,,1.0,1.0
2025-11-17,,,6.0,2.0
2025-11-19,,,14.0,3.0
2025-11-20,1.0,1.0,7.0,5.0
2025-11-21,,,2.0,1.0
2025-11-22,2.0,1.0,,
2025-11-24,1.0,1.0,11.0,4.0
2025-11-25,,,4.0,3.0
2025-11-26,,,5.0,2.0
2025-11-27,,,3.0,3.0
2025-11-28,,,1.0,1.0
2025-11-29,,,1.0,1.0
2025-11-30,1.0,1.0,1.0,1.0
2025-12-01,,,5.0,4.0
2025-12-02,,,5.0,2.0
2025-12-03,,,3.0,3.0
2025-12-04,,,4.0,3.0
2025-12-05,,,4.0,1.0
2025-12-06,,,10.0,3.0
2025-12-08,,,7.0,2.0
2025-12-09,2.0,2.0,2.0,2.0
2025-12-10,,,4.0,2.0
2025-12-11,,,9.0,7.0
2025-12-12,,,1.0,1.0
2025-12-13,,,1.0,1.0
2025-12-14,,,2.0,2.0
2025-12-15,1.0,1.0,19.0,5.0
2025-12-17,1.0,1.0,28.0,5.0
2025-12-18,,,4.0,1.0
2025-12-19,1.0,1.0,2.0,1.0
2025-12-20,,,1.0,1.0
2025-12-21,,,1.0,1.0
2025-12-22,1.0,1.0,5.0,2.0
2025-12-24,0.0,0.0,2.0,1.0
2025-12-25,0.0,0.0,0.0,0.0
2025-12-26,0.0,0.0,30.0,2.0
2025-12-27,0.0,0.0,0.0,0.0
2025-12-28,0.0,0.0,1.0,1.0
2025-12-29,1.0,1.0,1.0,1.0
2025-12-30,2.0,2.0,0.0,0.0
2025-12-31,0.0,0.0,1.0,1.0
2026-01-01,1.0,1.0,0.0,0.0
2026-01-02,0.0,0.0,1.0,1.0
2026-01-03,0.0,0.0,0.0,0.0
2026-01-04,0.0,0.0,1.0,1.0
2026-01-05,0.0,0.0,4.0,2.0
2026-01-06,1.0,1.0,3.0,2.0
2026-01-07,0.0,0.0,10.0,5.0
2026-01-08,0.0,0.0,20.0,10.0
2026-01-09,0.0,0.0,23.0,6.0
2026-01-10,1.0,1.0,0.0,0.0
2026-01-11,0.0,0.0,1.0,1.0
2026-01-12,1.0,1.0,9.0,5.0
2026-01-13,0.0,0.0,27.0,8.0
2026-01-14,0.0,0.0,16.0,5.0
2026-01-15,0.0,0.0,7.0,5.0
2026-01-16,2.0,2.0,6.0,2.0
2026-01-17,0.0,0.0,0.0,0.0
2026-01-18,1.0,1.0,40.0,2.0
2026-01-19,0.0,0.0,9.0,4.0
2026-01-20,1.0,1.0,4.0,1.0
2026-01-21,1.0,1.0,145.0,14.0
2026-01-22,0.0,0.0,6.0,5.0
2026-01-23,0.0,0.0,12.0,8.0
2026-01-24,0.0,0.0,4.0,3.0
2026-01-25,1.0,1.0,41.0,2.0
2026-01-26,0.0,0.0,19.0,6.0
2026-01-27,0.0,0.0,10.0,5.0
2026-01-28,0.0,0.0,43.0,8.0
2026-02-09,1.0,1.0,97.0,6.0
2026-02-10,1.0,1.0,18.0,5.0
2026-02-11,0.0,0.0,10.0,5.0
2026-02-12,1.0,1.0,7.0,4.0
2026-02-13,1.0,1.0,3.0,3.0
2026-02-14,0.0,0.0,5.0,2.0
2026-02-15,0.0,0.0,13.0,6.0
2026-02-16,0.0,0.0,2.0,2.0
2026-02-17,2.0,2.0,13.0,7.0
2026-02-18,0.0,0.0,2.0,2.0
2026-02-19,0.0,0.0,10.0,7.0
2026-02-20,1.0,1.0,7.0,6.0
2026-02-21,0.0,0.0,4.0,1.0
2026-02-22,1.0,1.0,0.0,0.0
2026-02-23,1.0,1.0,19.0,6.0
2026-02-24,0.0,0.0,12.0,6.0
2026-02-25,0.0,0.0,35.0,10.0
2026-02-26,1.0,1.0,20.0,7.0
2026-02-27,1.0,1.0,3.0,1.0
2026-02-28,0.0,0.0,1.0,1.0
2026-03-01,0.0,0.0,1.0,1.0
2026-03-04,1.0,1.0,3.0,2.0
2026-03-05,2.0,2.0,23.0,7.0
2026-03-06,0.0,0.0,33.0,6.0
2026-03-07,0.0,0.0,3.0,1.0
2026-03-08,0.0,0.0,6.0,1.0
2026-03-09,0.0,0.0,54.0,8.0
2026-03-10,2.0,2.0,8.0,5.0
2026-03-11,0.0,0.0,9.0,3.0
2026-03-12,1.0,1.0,20.0,5.0
2026-03-13,0.0,0.0,2.0,2.0
2026-03-14,2.0,2.0,8.0,2.0
2026-03-15,0.0,0.0,1.0,1.0
2026-03-16,9.0,3.0,41.0,5.0
2026-03-17,0.0,0.0,16.0,8.0
2026-03-18,0.0,0.0,7.0,6.0
2026-03-19,0.0,0.0,8.0,2.0
2026-03-20,0.0,0.0,36.0,3.0
2026-03-21,0.0,0.0,4.0,2.0
2026-03-22,0.0,0.0,4.0,2.0
2026-03-23,1.0,1.0,105.0,40.0
2026-03-24,20.0,5.0,97.0,16.0
2026-03-25,0.0,0.0,41.0,9.0
2026-03-26,3.0,3.0,27.0,3.0
2026-03-27,2.0,2.0,17.0,7.0
2026-03-28,1.0,1.0,3.0,3.0
2026-03-29,0.0,0.0,4.0,3.0
2026-03-30,0.0,0.0,16.0,4.0
2026-03-31,1.0,1.0,21.0,7.0
2026-04-01,0.0,0.0,22.0,3.0
2026-04-02,6.0,3.0,67.0,5.0
2026-04-03,14.0,7.0,74.0,8.0
2026-04-04,1.0,1.0,0.0,0.0
2026-04-05,0.0,0.0,9.0,2.0
2026-04-06,1.0,1.0,1.0,1.0
2026-04-07,20.0,10.0,84.0,6.0
2026-04-08,4.0,4.0,51.0,15.0
2026-04-09,0.0,0.0,24.0,6.0
2026-04-10,0.0,0.0,7.0,3.0
2026-04-11,0.0,0.0,1.0,1.0
2026-04-12,4.0,4.0,9.0,5.0
2026-04-13,0.0,0.0,8.0,8.0
2026-04-14,0.0,0.0,4.0,3.0
2026-04-15,1.0,1.0,9.0,4.0
2026-04-16,1.0,1.0,3.0,2.0
2026-04-17,0.0,0.0,32.0,5.0
2026-04-18,0.0,0.0,3.0,1.0
2026-04-19,0.0,0.0,14.0,4.0
2026-04-20,1.0,1.0,12.0,6.0
2026-04-21,1.0,1.0,19.0,7.0
2026-04-22,1.0,1.0,28.0,8.0
2026-04-23,6.0,2.0,15.0,7.0
2026-04-24,0.0,0.0,15.0,3.0
2026-04-25,5.0,2.0,0.0,0.0
2026-04-26,1.0,1.0,5.0,3.0
2026-04-27,0.0,0.0,60.0,15.0
2026-04-28,0.0,0.0,46.0,6.0
2026-04-29,2.0,1.0,18.0,5.0
2026-05-04,0.0,0.0,12.0,6.0
2026-05-05,1.0,1.0,7.0,3.0
2026-05-06,1.0,1.0,6.0,4.0
2026-05-07,1.0,1.0,19.0,6.0
2026-05-08,0.0,0.0,1.0,1.0
2026-05-09,0.0,0.0,1.0,1.0
2026-05-10,1.0,1.0,0.0,0.0
2026-05-11,0.0,0.0,13.0,5.0
2026-05-12,0.0,0.0,4.0,3.0
2026-05-13,0.0,0.0,3.0,2.0
2026-05-14,0.0,0.0,0.0,0.0
2026-05-15,0.0,0.0,0.0,0.0
2026-05-16,0.0,0.0,0.0,0.0
2026-05-17,0.0,0.0,2.0,2.0
2026-05-18,1.0,1.0,8.0,4.0
2026-05-19,1.0,1.0,12.0,4.0
2026-05-20,2.0,1.0,4.0,3.0
2026-05-21,1.0,1.0,8.0,4.0
2026-05-22,1.0,1.0,3.0,2.0
2026-05-23,0.0,0.0,0.0,0.0
2026-05-24,0.0,0.0,1.0,1.0
2026-05-25,0.0,0.0,7.0,5.0
2026-05-26,1.0,1.0,3.0,3.0
2026-05-27,0.0,0.0,4.0,4.0
2026-05-28,2.0,2.0,45.0,14.0
2026-05-29,1.0,1.0,2.0,2.0
2026-05-30,1.0,1.0,2.0,1.0
2026-05-31,0.0,0.0,3.0,1.0
2026-06-01,1.0,1.0,14.0,8.0
2026-06-02,3.0,3.0,12.0,6.0
2026-06-03,1.0,1.0,6.0,4.0
2026-06-04,1.0,1.0,5.0,3.0
2026-06-05,1.0,1.0,21.0,7.0
2026-06-06,0.0,0.0,0.0,0.0
2026-06-07,0.0,0.0,0.0,0.0
2026-06-08,1.0,1.0,3.0,2.0
2026-06-09,3.0,2.0,8.0,6.0
2026-06-10,0.0,0.0,3.0,2.0
2026-06-11,0.0,0.0,6.0,6.0
2026-06-12,1.0,1.0,28.0,2.0
2026-06-13,0.0,0.0,0.0,0.0
2026-06-14,0.0,0.0,0.0,0.0
2026-06-15,0.0,0.0,25.0,7.0
2026-06-16,0.0,0.0,6.0,4.0
2026-06-17,1.0,1.0,27.0,9.0
2026-06-18,5.0,5.0,4.0,2.0
2026-06-19,0.0,0.0,9.0,6.0
2026-06-20,1.0,1.0,0.0,0.0
2026-06-21,1.0,1.0,4.0,1.0
2026-06-22,1.0,1.0,26.0,4.0
2026-06-23,0.0,0.0,10.0,4.0
2026-06-24,5.0,1.0,62.0,7.0
2026-06-25,0.0,0.0,1.0,1.0
2026-06-26,0.0,0.0,27.0,8.0
2026-06-27,0.0,0.0,1.0,1.0
2026-06-28,1.0,1.0,0.0,0.0
2026-06-29,1.0,1.0,27.0,7.0
2026-06-30,1.0,1.0,6.0,4.0
2026-07-01,0.0,0.0,2.0,2.0
2026-07-02,1.0,1.0,8.0,3.0
2026-07-03,1.0,1.0,4.0,4.0
2026-07-04,8.0,8.0,0.0,0.0
2026-07-05,6.0,5.0,0.0,0.0
2026-07-06,1.0,1.0,3.0,3.0
2026-07-07,0.0,0.0,9.0,5.0
2026-07-08,0.0,0.0,4.0,2.0
2026-07-09,2.0,2.0,17.0,4.0
2026-07-10,3.0,2.0,46.0,8.0
2026-07-11,2.0,2.0,3.0,2.0
2026-07-12,1.0,1.0,0.0,0.0
2026-07-13,1.0,1.0,11.0,3.0
2026-07-14,0.0,0.0,24.0,5.0
2026-07-15,0.0,0.0,13.0,9.0
2026-08-04,2.0,2.0,16.0,9.0
2026-08-05,0.0,0.0,45.0,2.0
2026-08-06,1.0,1.0,3.0,3.0
2026-08-07,1.0,1.0,1.0,1.0
2026-08-08,0.0,0.0,0.0,0.0
2026-08-09,0.0,0.0,10.0,1.0
2026-08-10,0.0,0.0,7.0,3.0
2026-08-11,2.0,2.0,1.0,1.0
2026-08-12,0.0,0.0,0.0,0.0
2026-08-13,1.0,1.0,22.0,1.0
2026-08-14,4.0,4.0,16.0,3.0
2026-08-15,0.0,0.0,1.0,1.0
2026-08-16,0.0,0.0,0.0,0.0
2026-08-17,2.0,1.0,44.0,5.0
2026-08-18,4.0,4.0,43.0,13.0
2026-08-19,3.0,3.0,10.0,1.0
2026-08-20,1.0,1.0,10.0,2.0
2026-08-21,0.0,0.0,14.0,4.0
2026-08-22,0.0,0.0,0.0,0.0
2026-08-23,1.0,1.0,0.0,0.0
2026-08-24,0.0,0.0,2.0,2.0
2026-08-25,3.0,3.0,9.0,4.0
2026-08-26,1.0,1.0,44.0,13.0
2026-08-27,1.0,1.0,13.0,4.0
2026-08-28,2.0,2.0,25.0,10.0
2026-08-29,3.0,3.0,0.0,0.0
2026-08-30,1.0,1.0,0.0,0.0
2026-08-31,2.0,2.0,18.0,3.0
2026-09-01,0.0,0.0,14.0,5.0
2026-09-02,1.0,1.0,45.0,3.0
